Comment in English,Spam / Ham,Sentiment
"Life is borring right?
*Wanna sprite cranberry?*",spam,negative
Recommendation squad? *I KNOW YOU'RE HERE!!!*,spam,neutral
This is just like auto cars but people can choose to drive recklessly or let the robot drive gently.,spam,neutral
Wat😮😐,spam,neutral
It's subway. Boring company!,spam,negative
"Thank you Elon, very cool.",spam,positive
Bullshit,spam,negative
"Though this idea looks cool, using it for cars would be impractical. Cars take up so much space that you would need 
to dig as many tunnels than there are roads, which is impossible to fund. Even so, the money you would have to charge to not be at a loss would be to high as most of the time the cars are barely full. This could work if instead it was only passenger modules, making it like a metro. One of these would fit potentially dozens of people, while a car fits at max seven, usually one.",ham,neutral
Then comes an earthquake and bye bye,ham,neutral
What a *boring* video,spam,neutral
imagine there is an earthquake,ham,neutral
this video is boring,spam,negative
Elon is awesome lol!!!,spam,positive
Becareful there car holes on road everywhere...,ham,neutral
"I like how they planed it out. But is it really gonna work. Like ur putting a normal highways , its just underground.
I wanna wait till it acctually works",spam,neutral
Breaking news the entire city of New York has been swallowed by a sinkhole.,spam,neutral
Yeah but the ammount of pollution that would build up in these tunnels,ham,neutral
Seems Elon smoke more weed today,spam,neutral
Why won't you just made a train then ?,ham,neutral
elon musk does not understand the word definition of Earthquake,spam,neutral
What if the machine breaks in the middle of the tunnel,ham,neutral
I dont want to be like that in future,spam,negative
Wow ! Amazing idea,spam,positive
thats so boring,spam,negative
This is like a sub for cars,spam,neutral
Wouldn’t be very possible due to train lines and how much money it would cost and the group collapsing,spam,neutral
Sad. ONLY TESLA,spam,negative
the best idea of the century but will cost a shit ton of money,spam,neutral
It's like an episode of Phineas and Ferd,spam,neutral
And then an earthquake occurs lmao,spam,neutral
Only Tesla's,spam,neutral
Make it for only Tesla’s for more money as well as sales and less carbon footprint,ham,neutral
Can we get an F in the chat for Florida never being able to have this,spam,neutral
Nice idea but that would probably cost hundreds of billions of dollers to do,spam,neutral
There is a hole in the ground while your waiting for it to come back?,ham,neutral
"But what if a bus needs to use the tunnel, or a limo?",ham,neutral
Ur stupid. And ur friends hook uu up on veiws or is this just bullshit typing of bs..,spam,negative
"1920 : In the future he gonna have a flying car
2018 :",spam,neutral
Shit!,spam,negative
This is so stupid. Look how slow it is to put cars into it,ham,negative
Fuck,spam,negative
Imposibble,spam,negative
Good idea any thing to beat the traffic.,spam,positive
Future is so cool but I won't survive 😢😢,spam,neutral
I feel like a car is gonna fall down the hole that the elevator is in...,ham,neutral
I thought they specialized in flamethrowers,spam,neutral
hell no nigga,spam,negative
The Company name sais it all,spam,neutral
why don't you just drive down？,spam,neutral
This is such a dumb concept,spam,negative
Nosens,spam,negative
2019?,spam,neutral
Shouldn't you use magnetic levitation instead of rails,ham,neutral
But how is it being held down there from the ground collapsing,ham,neutral
Seems like 1 dumb shit would drive right into the hole while you are being lowered down,ham,negative
Earth: *Earthquake*,ham,neutral
Introducing the not a tunnel!,spam,neutral
"You see, I get the idea but it is dangerous for populated countries like India, once it gets on work, 
the place is gonna be dug up and then most of the country will be hollow from the indside",ham,neutral
"It's not solving any sustainability problems nor traffic problems, subways around the world transports millions of people underground everyday.
What good is this system?",ham,negative
Well finally all this was a fake movie....,spam,negative
i bet they will add subway...get it?no?ok....,spam,neutral
"Yeah. When we have polluted every thing on the ground, let us fuck under ground as well. I hate using technology 
so aggressively. I hate it when I see one person is commuting everyday in one big SUV. we need to manage things to make it better, not create a temporary solution that have potential to become a bigger problem in future. Elon musk want to become richest, biggest etc. I don't know what is future of his experiments",spam,negative
The 1% transport system,spam,neutral
BOOORINGGGG,spam,negative
We can't have nice things,spam,neutral
why build under eart why not up on  earth ?,ham,neutral
So...what about trucks? Or the millions of tractor trailors?,ham,neutral
That would Improve traffic,spam,neutral
So he runnin cars instead of trains in subway !,spam,neutral
really a boring company,spam,negative
"Car guy here and even enjoy driving a lot, and dislike electric cars since they are boring and soulless,
 but for this and what Elon Musk has been doing over the years, including Tesla, are fucking mad and I appreciate it a lot. He literally IS the Tony Stark irl.",spam,neutral
Is this really possible 🤔😐🙄,spam,neutral
200 kmh is 124 mph? AAAAAAAAAAAAAAAAAA OCD,spam,neutral
Maybe thanos can dig this,spam,neutral
What happens if it floods?,ham,neutral
Is this only for Tesla's?,spam,neutral
This is one of Bull shit ever I seen,spam,negative
whats the point?,spam,neutral
"Fuel efficient flying cars will be in market by the time this model will be implemented successfully. 
Waste of tax money. Someone in the office wanted to be regarded as innovative and made this stupid concept.",ham,negative
What's the purpose of the tunnels if we could just drive to our destination,spam,neutral
If this was actually true no one would need a car like wtf,spam,negative
Boooooooring.,spam,negative
"Tesla is my dream car, they're awesome",spam,positive
"A subway for cars ? That is just waste of energy .Instead they could have made a tunnel for pod taxis 
if you don't want to ride subways like it was shown in one of the compartments.",ham,neutral
Why is this recommended?,spam,neutral
How much problems the cops will have 😂😂😂,spam,neutral
I like it as long as we can use cars other than teslas as well.,spam,neutral
Haha instead of doing this add more lane's on the road or make under ground tunnel,ham,neutral
Automated cars or driving less cars are far better solution than this concept.,ham,neutral
*stop giving them ideas*,spam,neutral
"The trick is, the tunnels are only made for Teslas",spam,neutral
"Might want to put up a barrier to keep impatient drivers from falling nose first into the lift shaft. 
Also: how is this going to work at night?",ham,neutral
"Everyone gives Elon so much shit but hes the only one trying to make the world a easier and better place. 
 Solving problems that no one else would bother to do",spam,neutral
What a boring company.,spam,negative
"Sound good, doesn't work",spam,negative
"When she calls and says ""I'm home all alone!"" and you own a Tesla in the future.. 😏",spam,neutral
Concept is so boring,spam,negative
Yes yesss please,spam,positive
Imagine google maps saying “Take the next down on the Lawrence Avenue” 😂😂😂😂,spam,neutral
"Trump: Build the wall
Elon:  Build the Tunnel",spam,neutral
"The tunnel might be boring
Cause it was made by the boring company",spam,negative
"THEN WHAT IS THE POINT OF A CAR, Elon musk",spam,neutral
"The problem with this is that the tunnels will create structural instability and 
the ground will collapse, thus creating sinkholes",ham,neutral
"Best way to sell Tesla
Tunnels that support only EV",spam,neutral
That would take longer than a new borns life expectancy,spam,neutral
"So, I know you already have an idea and a plan for this but...... what stops an elderly woman driving
 into the hole (no ageism intended just trying to be funny)",ham,neutral
"Ok so I Like the idea... but it's not Logical. SO only Tesla's and Electric cars Are aloud to Ride this Menace. How on God's Green Earth Is that Supposed to Help Traffic. NOT everyone is Going to buy a TESLA And not Everyone is Is going to Buy an Electric Car. SURE it can Move Traffic A little More. But What Good Is It Going to do If Only Electric cars Can go on it. + I'm Sure You Know How People can be in this World, Humans Do stupid Things, Like They Would Get Into the car and then Jump Out and completly die. What Is The train Thing that You Drive your Car Onto  Malfunctions then What Happens. As Nice as This sounds, it's not Logical. 
Edit: I Know People might get Triggered From What I'm saying so if you Would Like To Correct me I won't be Offended",ham,negative
wow nice graphics!,spam,positive
How about you make traffic less worse? This will cause even more traffic. Still a cool idea don’t get me wrong.,ham,neutral
Tf? This was my idea like years ago lmaooooo,spam,neutral
I honestly don't want to die,spam,negative
Saw the real one they build this month 😂😂😂 and this concept release last year ...,spam,neutral
Pay to win,spam,neutral
"What u do when there’s a big ass hole left behind and some dumb ass drives right into said hole and smashes that Tesla.
 Cmon musk u gotta account for the dumbasses 😂",spam,negative
"They should make it so it’s only usable by tesla and other *electric car* users. Both to discourage gas cars, and keep the thing from causing congestion, 
because There would be REALLY LONG LINES if it was open to EvErY body.",ham,neutral
Whenever that thing gets invented and used in major cities you can bet your ass those finna be wrapped in lines,spam,neutral
This ideas are good for a 100000 population not 750000000,spam,neutral
"In this kind of world, terrorists don't exist. But hackers do. . .",ham,neutral
Uhhhh i dont think this is gud...😅😅😅 this is kinda... impossible,spam,neutral
"I like the fact that at some point somebody will die in a tunnel because he needed to pee 
so he got out of the car and the wind would blew him away",ham,neutral
Almost Hotwheels acceleracers,spam,neutral
This is so boring,spam,negative
"Telsa only
Wat  ?",spam,neutral
Only for *TESLA*,spam,neutral
Cuz that seems so practical,spam,neutral
That's not a breakthrough ...,spam,neutral
You would use a car to drive your car. That's just genius.,spam,neutral
My face right now : :O,spam,neutral
I hope there are boring company toys and tesla car models for kids. I will be very happy to review on my channel :),spam,neutral
So in the future everyone will have a Tesla. Hi I’m Elon musk I like money,spam,neutral
Fuck your idea. Make your own planet!- Rotschild Family,spam,negative
Elon Musk is a genius!,spam,positive
Lol what if there's an earthquake or something,ham,neutral
Not a boring conpany,spam,neutral
"If there’s and earthquake, you fucked",ham,negative
I can say: Ellon you fuckedup in this one,spam,neutral
December 2018 enyone 😂😂,spam,neutral
you never know,spam,neutral
Is this new mod for GTA 5?,spam,neutral
its called a subway,spam,neutral
This is gona happen in 2500,spam,neutral
"So, Elon Musk is like the one who started linking us to the future?",spam,neutral
"Yeah, it's called a subway",spam,neutral
Why isn't everyone using the tunnels?,ham,neutral
finally ruining the earth....,spam,negative
I want the scenic highway drive back.,spam,neutral
This is much needed in India,spam,neutral
Building vehicle to transport your vehicle...,spam,neutral
"Just like the hyloop, he says he will do it, and he just says ... Same as hyloop, he says he'll do it, and he's just not saying ...",spam,neutral
What happens if it dies underground or midway to the underground tunnel?,spam,neutral
"when  a corrolla try to stop in that car pad suddenly there a AI girl voice said ""only for tesla"" ...",spam,neutral
Bad idea,spam,negative
Earthquake,ham,neutral
It’s a  pretty good idea,spam,positive
From Future It's Done Now!,spam,neutral
"Driving has to be fun, not boring :)",spam,neutral
"This has to happen eventually. It's the best solution, not the easy solution",spam,positive
"Well, I don’t know about you guys in the USA) but here in Russia(as well as in Europe) we already have this shit) 
It is called metro(underground if you want. Works the same way Nothing revolutionary here XD",spam,negative
Why is it mainly teslas,spam,neutral
"To make it possible we need an individual carrier moving 120milesperhour with a ton on it .
And if we found one why to move in undergrounds directly use it on a road . Hell of a video I have seen
Such a crap I have found here.",spam,neutral
Elon. Fixing traffic with tunnels. You mind putting one between Malta and gozo? The ferry takes ages,spam,neutral
"So it's basically the Clone concept of a Drainage system with 1000 times more tunnels under our feet.
So tell me Mr. Musk thus these roads would be able to handle my newly born babies weight in Future.",spam,neutral
Cool but how will u make profit or is this a free thing?,ham,neutral
Hail elon,spam,neutral
Can any car use them,ham,neutral
Ilon boi is unstoppable,spam,neutral
Watching tunnels during travelling hours and hours now I get how they get the name The Boring Company.,spam,neutral
I made a version of this in minecraft,spam,neutral
World 3000 or Japan 2050 😎,spam,neutral
Good luck with earthquakes,ham,neutral
What if a car fell into that opened one while it taking another to the tunnel,ham,neutral
Then why would we need a car?,spam,neutral
YouTube's recommendations are getting weird these days 🤕,spam,neutral
Those tunnels will break when time comes and this project is a piece of shit💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩.,spam,negative
what if they open their door?,spam,neutral
"oooooooo, that's how it work",spam,neutral
"I love this idea but imagine a accident or a earthquake while there is people on this or a fooding or
 stupid people that would get out of the car or a little kid that steps on the plataforma with the car this is awesome but pretty dangerous",ham,neutral
"Fixes a problem and creates another : that shit is going to have a queue no matter how many we implement,
 if anything we'd need to redesign roads , good initial idea but eh",ham,neutral
"This looks, Boring.",spam,negative
Elon musk the great...,spam,positive
"I love musk. Such an incredible person! But we already have enough roads, homes, clothes and food 
for a sustainable number of humans beings. We only need to reach back to that sustainable number. Everything is ready. We just have to have smaller families",spam,neutral
"This is fantasy, unless you can get tunnelling so fast and so safe.  
 If there is anyone who can do it, it’s Musk.   To me, this is just more of his PR.",spam,neutral
What's stopping me from accidentally falling in when that thing isn't there?,ham,neutral
"0:40 you ll need a couple million of those car carriing things... it ll cost billlions... 
who pays for them? so it would be better if the car would drive on its own...",spam,neutral
"lol I like how there’s traffic in the video, this is supposed to eliminate traffic",spam,neutral
So where will all the underground cables and those tunnels for fezise go?,spam,neutral
Not gonna happend elon,spam,negative
Why not do above ground?,ham,neutral
"This company's pretty boring
I'm sorry",spam,negative
Damn aliens 👽.,spam,negative
This is the stupidest idea,spam,negative
I thought Elon was a car guy ..... maybe I am wrong,spam,neutral
Tf,spam,neutral
"Then why you drive damn car?
just make hovering bus then.
let the other companies make real car.
don't screw it.",ham,negative
NOPE.,spam,neutral
Elon has outdone himself again!,spam,positive
What they r going to do when earthquake will come?,ham,neutral
Hmmmm :3,spam,neutral
It's so boring,spam,negative
"I would be awesome, all this happens as shown in the video.",spam,positive
This sucks. No world view ? I enjoy looking at the outside world when I am driving.,ham,neutral
"5,888,888th view",spam,neutral
"Good idea, but the truth is it ain't gonna work",spam,neutral
It's a good invention but it should be an Electric Shuttle Train of 2 or 3 Cars with Specific destinations like the Hyperloop.,ham,neutral
may be the inventor its a danish,spam,neutral
"I suggest that a barrier be temporarily lifted before the car starts to descend the elevator 
to prevent pedestrians or cars from falling accidentally through the hole.",ham,neutral
"once upon a time... before god invented this world, angel of negativity always criticized his idea.
 god stop debating and keep working and successfully created this world. angel of negativity trying to fight him. 
god get pissed off before throwed him away to this world and rename him as SATAN",spam,neutral
"what's wrong with more public transport?  individual cars in tunnels is not mass transit. ..
.i like the tech but it going to be expensive and only for the rich.",ham,neutral
"""Laziness, open the door! Burn! Will burn, but will not be opened.""",spam,negative
"Underground tunnels are the most boring thing. And the subway is better, down with cars everywhere! Dull autoculture.",spam,neutral
Elon you are a frik’n mad lad,spam,negative
Invented the subway again(*_-),spam,neutral
"What is the use of overlapping one lane? Just do there without speed limits. Why build tunnels for rats and create traffic jams? If it is public transport, then METRO has already been invented.
It turns out just a freight metro and they will only use it to transport expensive goods or emergency situations, or the government will force it to use (may give subsidies) Other options are just expensive and stupid",spam,negative
Elon's stupid...when there is nowhere to put money...it would be better to charity donated...,spam,negative
GUY - INDIGO,spam,neutral
cool!!,spam,positive
"I love the idea but your mile long track was so far off true that in the time lapse video aired on
 KTLA tonight at 11 PM at 40 to 50 mph looked extremely sketchy and that's why you couldn't make 100 mph, which you said you would. You'd think you'd spend a bit more on keeping the tracks straight for a proof of concept that the whole world is watching. Based on this alone, I have to say no dawg.",spam,neutral
Why is the car elevator so slow? It will cause a traffic jam.,ham,neutral
That's pretty late for a April fool's video,spam,neutral
RIP,spam,neutral
This is just part of the future!,spam,neutral
"Would it be like in russia, in brezniki, swallowed by sinkholes in time?",spam,neutral
The first idiot who parked on the elevator will cause the collapses of the whole section...but it's a good idea.,ham,neutral
"Nice, I'm missing some pull-out railing. I do not want to get into that hole after the elevator ;-)",ham,neutral
"I don't get what exactly does this fix and how. You're just moving the problem around, building more infrastructure,
 wasting more money and solving nothing. It's simple math. The same number of people will drive the same number of cars. It's not doing anything to solve traffic.",ham,negative
watching this and Elon musk makes me realize how pointless my life is -_-,spam,negative
"Elon Musk is a low-grade lunatic.  Many of his notions are simply fabulist and daft.  He finds commuting to
 work troublesome because of traffic congestion.  So, his solution is to bore a tunnel beneath public land and Jetson the populous (mainly himself and his cohorts) to a chosen destination.  Government largesse has enabled Musk to develop his autocentric universe.  Now he decides that public land should be handed over as a bequest to his rather fantastic (in terms of surreal) so-called vision, without consulting the citizenry.  He is especially fond of fast-tracking, which illustrates his lack of wisdom.  There is absolutely no reason to construct the very restricted means of transport he is pushing.  As for Tesla, the large manufacturers, such as Volkswagen, Porsche and others will soon bury his not-so-successful auto adventure.  They have expertise, scale and distribution along with maintenance facilities for the individual owners.  Musk is  John DeLorean.",spam,negative
Making this video was harder than the actual construction is going to be,spam,neutral
"I love this guy. People can throw all kinds of shit at him about him, whatever, but Elon is a great American,
 envisioning and building things that improve the quality of life for people-- vs sitting on some dumbass social network like twitter or facebook actually subtracting value from life. Throw whatever you want to throw at him; it's like the end of the Coppola movie ""Tucker"", nothing will stop him from inventing. Very few people in life can deliver on big ideas like SpaceX and Tesla and Boring Company and solar cell company. So much schadenfreude about Elon because he occasionally f's up and people love to impose that view of him as his totality of being.  He's the first person to thrill me with his audaceous execution all the way back to the epic American Apollo program that landed people on the moon.",spam,neutral
Do the TMNT approve of this?,spam,neutral
Imagine parking your car accedently in that place then coming back and finding it in a completly deffrent country,ham,neutral
"The fucked up thing is that a lot of people will be using these tunnels just for the hell of it, just for fun.
 The real people who need to get somewhere quickly will be waiting and waiting in those long ass lines.",ham,negative
"hope you can put one in the Secondary Wall at the end of California mexico , boarder.
.  send fords and other stuff to new mexico and texas , fast...",spam,neutral
"We need this lake elsinore to san juan capistano because ortega hwy 74 is one of
 the most dangerous and trafficy roads in the usa.",spam,neutral
Emp?,spam,neutral
Seems like boring technologies. Not interesting.,spam,neutral
"Im no construction manager, but im pretty sure that this shit would have more 
than one car in line if the service was actually free",ham,neutral
providing a better future for us,spam,positive
"But wait, who’s going to ride the high speed rail?",spam,neutral
That's way so many weird sounds in the sky,spam,neutral
Or you can just take the train? saves space and money....,ham,neutral
It's just a pit.,spam,neutral
"Acctually this does make no sense, you can build streets on the outside way easier, 
so why the fuck would you do this? Can somebody answer?",spam,negative
"Another fantasy of mister Musk, that will never be reality,
another one, another one...",spam,neutral
Is it a tesla exclusive only?,spam,neutral
wow personal trains,spam,neutral
Hope I'll see this before I die,spam,neutral
The Victorians had this idea over 100 years ago. It was called The Tube.,spam,neutral
"well the sim makes it look flawless. but what happens when the earthquake hits? 
do you have to drive a Tesla to fit into the conveyance? IDK. I'd check it out, tho.",ham,neutral
Tesla is on the right track,spam,neutral
What if there's an accident undergrounds...?,ham,neutral
This would be fun .. do it!!!!,spam,positive
"Obviously this is not going to work, just a big scam to investors",spam,negative
"I still cant see how this is gunna be functional with attempting to get a smooth flow of traffic in and out of ""subway"" Time will tell i guess",spam,neutral
L for Elin Musk!,spam,neutral
Animation needs some old people looking to park driving their car into an open pit crushing an unsuspecting Model X driver.,spam,neutral
The height of stupidity.,spam,negative
Wonder how much his stocks rose after this video.,spam,neutral
"I don’t think they actually plan on putting the elevators on roads. They’ll probably put them in parking lots, parking garages, buildings, and empty space. There might be some in the street, but I’m sure if this becomes highly integrated which In cities, which I definitely see happening, then they’ll think of the most efficient locations. 

Also, tunnels can be designed to withstand earthquakes.",ham,neutral
stupid,spam,negative
Plot twist: Only works with Tesla automobiles.,spam,neutral
Wwwwaaauuuuu,spam,neutral
I’ll be the first test subject,spam,neutral
Curb management with style.,spam,neutral
"What is wrong with this theory of mass transportation using tunnels, is how people will have long distances to travel and aren’t just concerned with getting from point A to point B. They want to see things along the way and not have to always have their heads stuck inside of viewing laptop, phone and iPad content. They want to look at other cars, see people walking and other things they take for granted which are along the ways ro their destinations. Imagine how these tunnels would make a claustrophobic person feel.",ham,negative
Can Somebody tell me the name of the soundtrack°,spam,neutral
just do it elon,spam,neutral
"Imagine the chaos when people in the city start fighting over tunnel car spots. It’s like parking at a mall. 
Natural instinct for most is to get the parking spot first even if it means risking an accident.",ham,negative
"The amount of retards in the comment section astounds me, suddenly every one is an expert 
and i can confirm that 98% have been proven wrong. Here from the future!",spam,negative
How much is that gonna cost? Toll tunnel sounds and looks expensive.,spam,neutral
do you have 50 trillion dollars? to make it real?,spam,neutral
"I often wished of this years ago working in corporate America, sitting in traffic, thinking, if only the cars were all on 1 rail, 
and could go the same speed, we'd get there a lot faster.  I don't want to sound like a construction manager, but what happens when you lower the car?  Is there a huge gaping hole in the street, some moron drives their car on top of you?  Also, what if someone decides to drive their car off the trolley in the tunnel, and causes an incident where the trolleys shut down, how do you get emergency responders to the scene?  I could go on... terrorists, earthquakes, stupid people, etc.  I can only imagine there being some malfunction, and I would wind up sitting in the tunnel in my car for hours, not able to move.  No thanks.  Flying cars are a better idea.",ham,negative
Dahir Construction is gonna sue,spam,neutral
Can I see it's ridiculous? The difference from the metro is that it only goes by car.,spam,negative
This is bullshit,spam,negative
not simulated,spam,neutral
How about if there was an earthquake??,ham,neutral
"Until the homie's open the door in the tunnel going 200km an hour. Seee yea, Henry. Or someone throws a pipe wrench out the window, 
and it lands on the track. 200km an hour and you all of a sudden jam. Looks nice, but lots of variables. Hey Elon, I need a job.",ham,neutral
What's this.... 50 years from now....  Ohh,spam,neutral
I like how all the cars are teslas,spam,positive
Electric platforms carrying (mostly) gas burning cars. Human's are weird.,ham,neutral
"Imagine this...replace oil and gas pipelines with tankers capable of using tunnels for a 
worry-free transportation system for the future.",spam,neutral
i like it but im not sure what if something happends,spam,positive
"for all the professional leg-pullers out here, let the technology be implemented, then you can comment about its demerits.
 And for your information,they have already got government approval. Some people never want anything new,and spend time in hindering technological progress, rather than boosting it.Sad",spam,neutral
this is never happening,spam,negative
Why not just have an on/off ramp to the tunnel and save all that wasted space/time/expense/mechanical nonsense?,ham,negative
Dahir Construction!,spam,neutral
This has to be one of the stupidest ideas I've ever seen.,spam,negative
"only issue i see is possible congestion waiting for the elevators, however, a plague, which is badly needed, 
would help this issue",ham,negative
By any chance does anyone know who did the CGI for this? Pretty impressive!,spam,positive
Is the car transporters for Teslas only?,ham,neutral
i love you musk,spam,positive
First Successful,spam,neutral
"its an world without people.citys are to life there, not to drive there",spam,negative
so an underground highway?,spam,neutral
its a self driving car for your self driving car!,spam,neutral
"Hey , you know whats better than one self driving car?
2 self driving cars
-Elon Musk, 2017",spam,neutral
This is too boring to watch,spam,negative
"So many negative comments, but the like/dislike ratio said it all. Don't people get it?",spam,neutral
Crazy yet amazing ideas!,spam,positive
"hahahaha, so you're cars gonna have its own underground public transportation, kinda like taking the subway isn't it?",spam,neutral
SUBSCRIBE,spam,neutral
"Considering the cost of this, it would make sense to just invest more into public transport.",ham,neutral
"Why bother with all this ludicrously expensive infrastructure IN ADDITION to roads?! 
A network of self-driving cars driving at max of 50mph without any lights or stop signs can already achieve insane increases in efficiency - we can get places 2X faster on average while using less than half the energy.",ham,neutral
What's the song?,spam,neutral
This is the same thing as the bus you proposed months ago.,spam,neutral
"It looks great but there is one major safety flaw. Once the car is lowered, it leaves behind very deep hole that pedestrians
 and other vehicles can fall into, especially at night. There must be a better safety mechanism to cover the empty hole once the car is lowered.",ham,positive
"This sounds....I'm not going to lie, this sounds incredibly redundant.",spam,negative
boring,spam,negative
coming in 2077,spam,neutral
200kmh? ill just use an autobahn!,spam,neutral
"Why would you put a car in top of a self driving platform instead of making the car self driving in the first place?
 Also, the hyperloop would be more than enough for rapid underground transportation, there's no need for cars as well.",ham,neutral
"All this is doing is prolonging the position of the car as the predominant mode of transportation. Maybe for LA this system will work, but most other cities in the US would do better to build public transit combined with a park-and-ride system.",ham,neutral
But then everybody waits in line to get on the tunnel thingy........... and that causes traffic.........,ham,neutral
All their headlights are off. Triggered,spam,neutral
Why not just make drivable tunnels ?,ham,neutral
"This is cool but almost impossible. But it's Elon Musk so, anything could happen.",spam,positive
What’s the point of driving your car if it just drives it for you.,spam,neutral
You people are dumb as rocks. This is pure snake oil,spam,negative
This was boring,spam,negative
Everyone would be ramming each other to try it out though,spam,neutral
i nut,spam,neutral
Nicked this from Evangelion,spam,neutral
What's that black car in 0:05? Tesla got some explaining to do. 👀👀,spam,neutral
Nice music. I bet only Tesla owners can use that :),spam,neutral
"did you see the pedestrian fall down the hole, maybe the homeless people that get hit by the cars in the tunnels,
 feels like a crazy billionaires fantasy.  seriously just who will pay for this?",ham,neutral
They are not being practical jere,spam,negative
Will the this only work with Tesla automobiles,ham,neutral
"if you look carefully, you can see there are lots of Teslas",spam,neutral
Bruh,spam,neutral
*Elon Musk reinveting the TUNNEL*,spam,neutral
Sound design/mix isn’t as Boring as it should be.,spam,negative
I just want that background tune anyone ? Help??,spam,neutral
It doesn't look efficient,spam,negative
"Elon Musk, greatest 3D concept art animator of all time.",spam,positive
The fuck this man wants to do in one lifetime!!!!,spam,negative
"Wow, Elon Musk invented tunnels to transport cars on another car... very innovative.",spam,positive
"How do you maintain or expand this infrastructure? digging so many tunnels as if these underground bridges are internal. 
And where is the Hyperloop?",ham,neutral
I wish i would still be alive when they finish making this if they decided to do it,spam,neutral
"*cough* *cough* thunderfoot debunks this already dont be fooled by the media bandwagonning
 this because of course they are *cough* *cough*",spam,negative
essentially the metro; but MUCH LESS efficient.,spam,neutral
https://www.youtube.com/watch?v=HBtL3qDvdZc&feature=push-u-sub&attr_tag=5uqVdcl5dZJVULdX-6,spam,neutral
Elon musk u r really futuristic really,spam,neutral
Can largely solve urban traffic problems,spam,neutral
My grandkids are gonna love this.,spam,positive
Whats the name of the soundtrack,spam,neutral
"I just want to know what happens when there is a backlog of people behind those who want to get into the boring company tunnels? 
 It looks like there needs to be a station or at least some space for a line.  Don't get me wrong, I love this idea.  It's just either the system needs to be really quick or these elevators need to be everywhere.",ham,neutral
"Soo, you drive a car while car sittin on the car drives you through tunnels. Neat.",spam,neutral
"It needs a lot of funds, time and technology. You can't make such a thing when nations are waging wars 
and diplomacies against each other...",spam,negative
what this,spam,neutral
Why this video isn't in 4K?,spam,neutral
Flat or round. That is the question,spam,neutral
"I dig this idea, but it seems pretty boring. They need a way to drive public interest in this.",spam,neutral
Why do 4 thousand people like traffic?,spam,neutral
why we havent invented this already?,spam,neutral
"Mark my words, this is total bullshit. Thoroughly cost inefficient and flawed concept.",spam,negative
Yea only for the rich,spam,neutral
That would be dope,spam,negative
What about more subways ans some ebikes? U dont need ur Car everywhere,ham,neutral
"I wonder how many cars and how much traffic will be backed up waiting to get onto one of those silly elevators? 
 They have wonderful tunnels in cities like London and New York that move people around.  It's called the subway.",ham,neutral
"Dumb. What if someone crashes into that or how is that even going to work? Probably some kind of future public transpo
 in the works because they dont even want us driving our own motor vehicles. This is a horrible idea.",ham,negative
Guaranteed these basic LA drivers will SOMEHOW figure out how to fuck up this too,spam,negative
I wonder what song this is,spam,neutral
hope it doesnt flood or smell like shit,ham,neutral
"I want to live in la now, so I can stick my head out the sunroof and screem WEEEEEEE",spam,neutral
"It is an extreme waste of time and resoucers, considering that we could completly change streets in a way better:
 magnetic technologies be like.",spam,negative
Impressive CGI just for a promo. Most bigger companies doesn't even have this good looking CGI in their promos.,spam,positive
is this realÉ,spam,neutral
wasn't something like this in an animorphs book?,spam,neutral
what a fucking joke of an idea,spam,neutral
Tunnel Musk,spam,neutral
"driving in nyc, whole new lanes (and roads) needed to deal with the 'elevator' spaces needed to get to the tunnels...
 which must be much deeper than subways even or you have tremendous structural problems with not only the weight of skyscrapers above, but subway tunnels, sewers piping, internet, gas, electric infrastructure, and people (not an unsubstantial weight, considering rush hour, buses, cars). Now build some elevators exactly matching up with street level going down to your boing tunnels, and those tunnels may not cause any higher structure to falter... and the elevators and lanes you want to co-opt can't cause traffic issues. this is still a pipe dream. the only way this can work is when a new city is expanding, and doesn't have the whole pop density/infrastructure density that la, chicago, ny has. they should be trying in this in smaller up and coming cities with higher elevation and nowhere near fault lines.",ham,neutral
"so many reasons this won't work. look at what fracking did to oklahoma, 1000s of earthquakes in one year where it hadn't had any for about 100 previously.
 digging more deeply into the ground NEAR MAJOR FAULT LINES is a recipe for disaster... if you want to do this virginia or montana is a safe place to start, but there's no need there. california is one of the least safe places to do so. the problem with musk, is he's been continually fellated for such mediocre ideas he really believes the genius nonsense because he can get backers by wearing black and making outrageous claims onstage. its amazing people are so easily drawn in, when the 'genius' of jobs, gates, were so easily seen through. people need to start challenging musk with hard questions... or the whole bubble of his 'genius' is going to burst and leave a lot of creditors holding the bag. good ride while it lasted i guess though",spam,negative
"Hey Elon! I've just realised, you are in Iron Man 2.",spam,neutral
will other cars than just teslas be allowed in the tunnel,ham,neutral
Wow this is boring....Company ( ͡° ͜ʖ ͡°),spam,negative
"It’s a really cool idea but digging that much earth up for a one lane tunnel would be expensive
 but maybe less expensive than the hyper loop concept",ham,neutral
What if one gets stuck? Or there's​ an accident?,ham,neutral
Elon make this real plz,spam,neutral
thats so boring smh,spam,negative
If earth quake comes then,ham,neutral
Jesus Christ wow 😲 I mean shit go for it,spam,neutral
Let’s go Elon!,spam,positive
"elon, r u ok..?",spam,neutral
The awesome song / background track shown in the video is here: https://www.youtube.com/watch?v=LJNQ-BLmDlc,spam,neutral
I will dig this,spam,neutral
nice.  sell it to Hollywood. graphics is good,spam,positive
